	transcript_name	classification_level	full_classification	classification	max_pid	ambiguous	counts
0	k119_1108941_2	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	57.520999999999994	0	
0	k119_1111547_3	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae	Alteromonadaceae	772.12	0	
0	k119_1111578_2	order	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales	Flavobacteriales	124.16	0	
0	k119_1113079_1	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	64.99	0	
0	k119_1113582_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	70.22800000000001	0	
0	k119_111553_2	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	161.99	0	
0	k119_1120500_2				228.92	1	
0	k119_1122392_1	supergroup	Bacteria; Terrabacteria group	Terrabacteria group	226.98	1	
0	k119_1122734_6	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae	Bacillariaceae	189.15	0	
0	k119_1124218_1	order	Eukaryota; Alveolata; Dinoflagellata; Noctilucophyceae; Noctilucales	Noctilucales	360.84	0	
0	k119_1127005_3	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae	Alteromonadaceae	589.76	0	
0	k119_1127120_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	75.854	0	
0	k119_1130665_2	order	Eukaryota; Stramenopiles; Ochrophyta; Raphidophyceae; Chattonellales	Chattonellales	48.597	0	
0	k119_1130909_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	59.752	0	
0	k119_1131085_1	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	82.547	0	
0	k119_11313_1	order	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales	Flavobacteriales	168.78	0	
0	k119_1132315_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Thalassionemales	Thalassionemales	95.642	0	
0	k119_1134496_4	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	99.91	0	
0	k119_1136242_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	61.983	0	
0	k119_1137707_2	order	Eukaryota; Opisthokonta; Choanoflagellida; Choanoflagellatea; Acanthoecida	Acanthoecida	143.56	0	
0	k119_1139878_1	genus	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae; Fragilariopsis	Fragilariopsis	134.82999999999998	0	
0	k119_1140665_2	class	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria	Alphaproteobacteria	142.59	0	
0	k119_1141143_2	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Fragilariales	Fragilariales	254.14	0	
0	k119_1145603_1	division	Eukaryota; Alveolata; Dinoflagellata	Dinoflagellata	69.84	0	
0	k119_1146339_1	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	245.41	1	
0	k119_1147090_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	168.78	0	
0	k119_1148310_1	domain	Eukaryota	Eukaryota	62.759	1	
0	k119_1148475_3	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales	Alteromonadales	119.31	0	
0	k119_1150118_3	class	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia	Flavobacteriia	106.7	0	
0	k119_1153129_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	204.67	0	
0	k119_1156485_3	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	158.10999999999999	0	
0	k119_1158279_3	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella	Shewanella	72.459	0	
0	k119_1160539_1	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	93.411	0	
0	k119_1161115_2	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	55.29	0	
0	k119_1161141_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	79.15199999999999	0	
0	k119_1161224_2	order	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales	Suessiales	56.745	0	
0	k119_1161310_1	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	Flavobacteriaceae	291.0	0	
0	k119_1165649_1	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae	Alteromonadaceae	498.58	0	
0	k119_1166563_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	92.24699999999999	0	
0	k119_1169282_1	domain	Eukaryota	Eukaryota	179.45	1	
0	k119_1170367_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Hemiaulales	Hemiaulales	48.888	0	
0	k119_1171648_2	class	Archaea; Euryarchaeota; Thermococci; Thermococci	Thermococci	190.12	0	
0	k119_1171743_7	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	90.79199999999999	1	
0	k119_1173294_2	division	Eukaryota; Alveolata; Dinoflagellata	Dinoflagellata	91.568	0	
0	k119_1175613_3	order	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales	Suessiales	95.254	0	
0	k119_1176603_30	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae	Alteromonadaceae	250.26	0	
0	k119_1176886_2	class	Eukaryota; Archaeplastida; Chlorophyta; Chlorophyceae	Chlorophyceae	71.392	0	
0	k119_1179151_3	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae	Bacillariaceae	841.9599999999999	0	
0	k119_1182982_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	161.99	0	
0	k119_1183222_3	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	87.009	0	
0	k119_1184288_3	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	58.684999999999995	0	
0	k119_1185985_2	domain	Eukaryota	Eukaryota	61.983	1	
0	k119_1186079_2	domain	Eukaryota	Eukaryota	210.48999999999998	1	
0	k119_1186256_1	class	Eukaryota; Rhizaria; Cercozoa; Chlorarachniophyceae	Chlorarachniophyceae	235.70999999999998	0	
0	k119_118850_1	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	55.678	0	
0	k119_1188798_2	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	81.092	0	
0	k119_1192415_7	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae	Cellvibrionaceae	310.4	0	
0	k119_1194693_24	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales	Cellvibrionales	284.21	0	
0	k119_1194693_48	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	464.63	1	
0	k119_1194693_51	class	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria	Alphaproteobacteria	632.4399999999999	1	
0	k119_1194693_9	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	468.51	1	
0	k119_119673_1	domain	Eukaryota	Eukaryota	62.759	1	
0	k119_1199397_2	family	Eukaryota; Stramenopiles; Stramenopiles_X; Stramenopiles_XX; Stramenopiles_XXX; Stramenopiles_XXXX	Stramenopiles_XXXX	271.59999999999997	0	
0	k119_1199829_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales	Bacillariales	161.99	0	
0	k119_1200638_4	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	61.983	0	
0	k119_1200796_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Hemiaulales	Hemiaulales	88.949	0	
0	k119_1213679_1	domain	Eukaryota	Eukaryota	131.92	1	
0	k119_1217093_1	class	Eukaryota; Archaeplastida; Chlorophyta; Chlorodendrophyceae	Chlorodendrophyceae	71.004	0	
0	k119_121731_1	division	Eukaryota; Stramenopiles; Opalozoa	Opalozoa	113.49	0	
0	k119_1218554_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Thalassionemales	Thalassionemales	53.059000000000005	0	
0	k119_1219654_1	class	Eukaryota; Archaeplastida; Glaucophyta; Glaucocystophyceae	Glaucocystophyceae	104.75999999999999	0	
0	k119_1220794_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	292.94	0	
0	k119_1223184_1	class	Eukaryota; Archaeplastida; Chlorophyta; Mamiellophyceae	Mamiellophyceae	92.24699999999999	0	
0	k119_1223809_2	division	Eukaryota; Alveolata; Ciliophora	Ciliophora	137.74	0	
0	k119_1226555_1	class	Eukaryota; Archaeplastida; Chlorophyta; Chlorodendrophyceae	Chlorodendrophyceae	93.411	0	
0	k119_1229442_1	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	184.29999999999998	1	
0	k119_1230696_2	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	109.61	0	
0	k119_1231500_10	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	54.514	1	
0	k119_1233643_1	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	Oceanospirillales	300.7	0	
0	k119_1233643_3	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	65.378	0	
0	k119_1233643_7	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	107.67	0	
0	k119_1234075_13	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae	Alteromonadaceae	199.82	0	
0	k119_1235790_1	division	Eukaryota; Alveolata; Dinoflagellata	Dinoflagellata	133.85999999999999	0	
0	k119_1236214_1	family	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Peridiniales; Kryptoperidiniaceae	Kryptoperidiniaceae	117.36999999999999	0	
0	k119_1237506_1	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	54.514	0	
0	k119_1238724_1	division	Eukaryota; Rhizaria; Cercozoa	Cercozoa	85.942	0	
0	k119_124063_2	division	Eukaryota; Amoebozoa; Discosea	Discosea	110.58	0	
0	k119_1241404_2	family	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Cytophagia; Cytophagales; Cyclobacteriaceae	Cyclobacteriaceae	107.67	1	
0	k119_1242833_1	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Paraglaciecola	Paraglaciecola	749.81	0	
0	k119_1243229_1	order	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales	Flavobacteriales	251.23	0	
0	k119_1247636_3	class	Bacteria; Terrabacteria group; Firmicutes; Bacilli	Bacilli	56.454	0	
0	k119_1251218_1	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	58.297	0	
0	k119_1252047_8	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	Oceanospirillales	310.4	0	
0	k119_1253472_2	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Hemiaulales	Hemiaulales	83.32300000000001	0	
0	k119_1261505_2	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	106.7	0	
0	k119_1261624_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	251.23	0	
0	k119_1263345_2	order	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae; Prymnesiales	Prymnesiales	47.433	0	
0	k119_1263413_1	class	Eukaryota; Stramenopiles; Ochrophyta; Pelagophyceae	Pelagophyceae	61.595	0	
0	k119_1263616_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	982.61	0	
0	k119_1263877_1	class	Eukaryota; Opisthokonta; Choanoflagellida; Choanoflagellatea	Choanoflagellatea	118.34	0	
0	k119_1266753_2	class	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae	Dinophyceae	53.059000000000005	0	
0	k119_1267097_1	genus	Eukaryota; Hacrobia; Haptophyta; Pavlovophyceae; Pavlovales; Pavlovaceae; Pavlova	Pavlova	121.25	0	
0	k119_1267523_8	order	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales	Cellvibrionales	714.89	0	
0	k119_1268004_2	domain	Eukaryota	Eukaryota	74.30199999999999	1	
0	k119_1268907_6	order	Bacteria; Proteobacteria; Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales	Rhodobacterales	501.49	1	
0	k119_1270359_5	genus	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales; Chaetoceros	Chaetoceros	163.93	0	
0	k119_1271519_2	genus	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales; Chaetoceros	Chaetoceros	134.82999999999998	0	
0	k119_1271848_1	class	Eukaryota; Alveolata; Apicomplexa; Colpodellidea	Colpodellidea	67.99699999999999	0	
0	k119_1272738_9	domain	Eukaryota	Eukaryota	808.01	1	
0	k119_1274304_25	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	198.85	0	
0	k119_1274408_2	division	Bacteria; Terrabacteria group; Firmicutes	Firmicutes	245.41	1	
0	k119_1275257_1	domain	Eukaryota	Eukaryota	59.364000000000004	1	
0	k119_1275345_1	division	Eukaryota; Rhizaria; Cercozoa	Cercozoa	128.04	0	
0	k119_1283940_2	class	Eukaryota; Archaeplastida; Chlorophyta; Chlorophyceae	Chlorophyceae	66.54199999999999	0	
0	k119_1284975_2	genus	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Thalassionemales; Thalassionemataceae; Thalassiothrix	Thalassiothrix	97.97	0	
0	k119_1284986_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	276.45	1	
0	k119_1287874_2	division	Bacteria; FCB group; Bacteroidetes/Chlorobi group	Bacteroidetes/Chlorobi group	459.78	1	
0	k119_1288273_2	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	191.09	0	
0	k119_1291443_3	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	51.507	0	
0	k119_1292585_2	order	Eukaryota; Stramenopiles; Stramenopiles_X; Stramenopiles_XX; Stramenopiles_XXX	Stramenopiles_XXX	74.30199999999999	0	
0	k119_1294145_1	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	78.085	1	
0	k119_1297075_1	genus	Eukaryota; Hacrobia; Haptophyta; Pavlovophyceae; Pavlovales; Pavlovaceae; Pavlova	Pavlova	113.49	0	
0	k119_1299574_1	domain	Eukaryota	Eukaryota	97.97	1	
0	k119_1301467_1	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae; Chaetocerotales	Chaetocerotales	511.19	0	
0	k119_1302049_1	class	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia	Flavobacteriia	180.42	0	
0	k119_1307151_13	class	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria	Gammaproteobacteria	76.92099999999999	0	
0	k119_1307267_1	class	Eukaryota; Rhizaria; Cercozoa; Chlorarachniophyceae	Chlorarachniophyceae	53.059000000000005	0	
0	k119_1307844_3	class	Eukaryota; Hacrobia; Haptophyta; Prymnesiophyceae	Prymnesiophyceae	188.18	0	
0	k119_1307885_4	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Hemiaulales	Hemiaulales	122.22	0	
0	k119_1308273_1	order	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Chaetocerotophycidae	Chaetocerotophycidae	130.95	0	
0	k119_1308591_2	family	Eukaryota; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Suessiaceae	Suessiaceae	44.425999999999995	0	
0	k119_1309187_1	class	Eukaryota; Opisthokonta; Choanoflagellida; Choanoflagellatea	Choanoflagellatea	54.514	0	
0	k119_1319414_2	family	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae	Pseudoalteromonadaceae	219.22	0	
0	k119_1319471_1	division	Eukaryota; Rhizaria; Cercozoa	Cercozoa	83.32300000000001	0	
0	k119_1319552_13	genus	Bacteria; Proteobacteria; Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Paraglaciecola	Paraglaciecola	627.59	0	
0	k119_1319650_2	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariales; Bacillariaceae	Bacillariaceae	66.154	0	
0	k119_1320086_2	class	Eukaryota; Amoebozoa; Conosa; Variosea	Variosea	97.97	0	
0	k119_1320249_2	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	50.827999999999996	0	
0	k119_1320282_1	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	226.98	0	
0	k119_132041_1	family	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta; Thalassionemales; Thalassionemataceae	Thalassionemataceae	48.209	0	
0	k119_1321668_1	class	Bacteria; FCB group; Bacteroidetes/Chlorobi group; Flavobacteriia	Flavobacteriia	54.126	0	
0	k119_1321929_3	class	Eukaryota; Stramenopiles; Ochrophyta; Bacillariophyta	Bacillariophyta	63.923	0	
0	k119_1323231_1	division	Eukaryota; Stramenopiles; Ochrophyta	Ochrophyta	151.32	0	
